user_id,article_1,article_2,article_3,article_4,article_5
200000,16132.0,12043.0,8710.0,8603.0,1330.0
200001,12043.0,8710.0,8603.0,598.0,1330.0
200002,12043.0,8710.0,8603.0,598.0,1330.0
200003,14784.0,17124.0,12043.0,8710.0,8603.0
200004,12043.0,8710.0,8603.0,598.0,1330.0
200005,12043.0,8710.0,8603.0,598.0,1330.0
200006,12043.0,8710.0,8603.0,598.0,1330.0
200007,12043.0,8710.0,8603.0,598.0,1330.0
200008,12043.0,8710.0,8603.0,598.0,1330.0
200009,12043.0,8710.0,8603.0,598.0,1330.0
200010,12043.0,8710.0,8603.0,598.0,1330.0
200011,5314.0,5290.0,12043.0,8710.0,8603.0
200012,12043.0,8710.0,8603.0,598.0,1330.0
200013,12043.0,8710.0,8603.0,598.0,1330.0
200014,12043.0,8710.0,8603.0,598.0,1330.0
200015,12043.0,8710.0,8603.0,598.0,1330.0
200016,12043.0,8710.0,8603.0,598.0,1330.0
200017,10145.0,12043.0,8710.0,8603.0,598.0
200018,12043.0,8710.0,8603.0,598.0,1330.0
200019,15226.0,16911.0,12043.0,8710.0,8603.0
200020,12043.0,8710.0,8603.0,598.0,1330.0
200021,12043.0,8710.0,8603.0,598.0,1330.0
200022,4620.0,4962.0,4963.0,12043.0,8710.0
200023,12043.0,8710.0,8603.0,598.0,1330.0
200024,12043.0,8710.0,8603.0,598.0,1330.0
200025,12043.0,8710.0,8603.0,598.0,1330.0
200026,12043.0,8710.0,8603.0,598.0,1330.0
200027,12043.0,8710.0,8603.0,1330.0,598.0
200028,12043.0,8710.0,8603.0,598.0,1330.0
200029,12043.0,8710.0,8603.0,1330.0,598.0
200030,12043.0,8710.0,8603.0,598.0,1330.0
200031,12043.0,8710.0,8603.0,598.0,1330.0
200032,12043.0,8710.0,8603.0,598.0,1330.0
200033,16038.0,14976.0,14666.0,12043.0,8710.0
200034,12043.0,8710.0,8603.0,598.0,1330.0
200035,12043.0,8710.0,8603.0,598.0,1330.0
200036,12043.0,8710.0,8603.0,598.0,1330.0
200037,12043.0,8710.0,8603.0,598.0,1330.0
200038,12043.0,8710.0,8603.0,598.0,1330.0
200039,12043.0,8710.0,8603.0,1330.0,598.0
200040,12043.0,8710.0,8603.0,598.0,1330.0
200041,12043.0,8710.0,8603.0,598.0,1330.0
200042,12043.0,8710.0,8603.0,598.0,1330.0
200043,12043.0,8710.0,8603.0,598.0,1330.0
200044,12043.0,8710.0,8603.0,598.0,1330.0
200045,12043.0,8710.0,8603.0,1330.0,598.0
200046,12043.0,8710.0,8603.0,598.0,1330.0
200047,12043.0,8710.0,8603.0,598.0,1330.0
200048,12043.0,8710.0,8603.0,598.0,1330.0
200049,12043.0,8710.0,8603.0,598.0,1330.0
200050,12043.0,8710.0,8603.0,598.0,1330.0
200051,12043.0,8710.0,8603.0,598.0,1330.0
200052,12043.0,8710.0,8603.0,598.0,1330.0
200053,2303.0,12043.0,8710.0,8603.0,598.0
200054,12043.0,8710.0,8603.0,598.0,1330.0
200055,12043.0,8710.0,8603.0,598.0,1330.0
200056,16563.0,14145.0,16033.0,17345.0,16588.0
200057,12043.0,8710.0,8603.0,1330.0,598.0
200058,12043.0,8710.0,8603.0,598.0,1330.0
200059,12043.0,8710.0,8603.0,598.0,1330.0
200060,12043.0,8710.0,8603.0,598.0,1330.0
200061,12043.0,8710.0,8603.0,598.0,1330.0
200062,12043.0,8710.0,8603.0,598.0,1330.0
200063,12043.0,8710.0,8603.0,598.0,1330.0
200064,12043.0,8710.0,8603.0,598.0,1330.0
200065,14394.0,14401.0,16470.0,15306.0,12043.0
200066,12043.0,8710.0,8603.0,598.0,1330.0
200067,12043.0,8710.0,8603.0,598.0,1330.0
200068,12043.0,8710.0,8603.0,598.0,1330.0
200069,12043.0,8710.0,8603.0,598.0,1330.0
200070,12043.0,8710.0,8603.0,598.0,1330.0
200071,12043.0,8710.0,8603.0,598.0,1330.0
200072,12043.0,8710.0,8603.0,598.0,1330.0
200073,12043.0,8710.0,8603.0,598.0,1330.0
200074,12043.0,8710.0,8603.0,598.0,1330.0
200075,12043.0,8710.0,8603.0,598.0,1330.0
200076,12043.0,8710.0,8603.0,598.0,1330.0
200077,12043.0,8710.0,8603.0,598.0,1330.0
200078,12043.0,8710.0,8603.0,598.0,1330.0
200079,12043.0,8710.0,8603.0,598.0,1330.0
200080,12043.0,8710.0,8603.0,1330.0,598.0
200081,5298.0,12043.0,8710.0,8603.0,598.0
200082,12043.0,8710.0,8603.0,598.0,1330.0
200083,12043.0,8710.0,8603.0,598.0,1330.0
200084,12043.0,8710.0,8603.0,598.0,1330.0
200085,12043.0,8710.0,8603.0,598.0,1330.0
200086,12043.0,8710.0,8603.0,598.0,1330.0
200087,12043.0,8710.0,8603.0,598.0,1330.0
200088,12043.0,8710.0,8603.0,598.0,1330.0
200089,12043.0,8710.0,8603.0,598.0,1330.0
200090,12043.0,8710.0,8603.0,598.0,1330.0
200091,12043.0,8710.0,8603.0,598.0,1330.0
200092,12043.0,8710.0,8603.0,598.0,1330.0
200093,12043.0,8710.0,8603.0,598.0,1330.0
200094,12043.0,8710.0,8603.0,598.0,1330.0
200095,5390.0,12043.0,8710.0,8603.0,1330.0
200096,12043.0,8710.0,8603.0,598.0,1330.0
200097,12043.0,8710.0,8603.0,598.0,1330.0
200098,12043.0,8710.0,8603.0,598.0,1330.0
200099,15808.0,16934.0,12043.0,8710.0,8603.0
200100,12043.0,8710.0,8603.0,598.0,1330.0
200101,12043.0,8710.0,8603.0,1330.0,598.0
200102,12043.0,8710.0,8603.0,598.0,1330.0
200103,12043.0,8710.0,8603.0,1330.0,598.0
200104,12043.0,8710.0,8603.0,598.0,1330.0
200105,12043.0,8710.0,8603.0,598.0,1330.0
200106,12043.0,8710.0,8603.0,598.0,1330.0
200107,12043.0,8710.0,8603.0,598.0,1330.0
200108,12043.0,8710.0,8603.0,598.0,1330.0
200109,12043.0,8710.0,8603.0,1330.0,598.0
200110,12043.0,8710.0,8603.0,598.0,1330.0
200111,12043.0,8710.0,8603.0,1330.0,598.0
200112,12043.0,8710.0,8603.0,598.0,1330.0
200113,12043.0,8710.0,8603.0,598.0,1330.0
200114,12043.0,8710.0,8603.0,598.0,1330.0
200115,12043.0,8710.0,8603.0,598.0,1330.0
200116,5396.0,5403.0,12043.0,8710.0,8603.0
