user_id,click_article_id,pred_score,pred_rank,label
0,3244,0.44617711790084436,1.0,0.0
5,8603,0.25604016992270945,1.0,0.0
6,8017,0.1518681467702952,2.0,0.0
6,10243,0.6896600738176679,1.0,0.0
18,8609,0.3112269952289969,1.0,0.0
20,12043,0.2754837152449035,1.0,0.0
26,1330,0.2670771247203889,1.0,0.0
29,8710,0.0998719311318521,1.0,0.0
36,8609,0.34805403806533675,1.0,0.0
41,8603,0.288934993191897,1.0,0.0
45,12043,0.2672966126204916,1.0,0.0
46,1330,0.26653017172575705,1.0,0.0
49,9843,0.0998719311318521,1.0,0.0
54,1973,0.29194047138431617,1.0,1.0
54,2857,0.2576939439231067,2.0,0.0
59,8603,0.2712120764917006,1.0,0.0
61,8710,0.0876613971886726,1.0,0.0
62,15594,0.1396606257703818,1.0,0.0
65,8609,0.2918636164441678,1.0,0.0
67,5594,0.8204164170554546,1.0,0.0
67,5611,0.5428498233794585,5.0,0.0
67,5569,0.5735539178887793,4.0,0.0
67,5592,0.588928512459778,3.0,0.0
67,6189,0.3512825778405293,6.0,0.0
67,6173,0.34161759867597524,7.0,0.0
67,5595,0.7935532662533099,2.0,1.0
69,11123,0.27779982559190036,1.0,0.0
73,9843,0.0999254155143565,1.0,0.0
78,13881,0.5953500519010123,2.0,1.0
78,16797,0.608060716345018,1.0,0.0
78,13509,0.05290591141599477,3.0,0.0
79,11123,0.2587969859842036,1.0,0.0
80,1330,0.27063411438241386,1.0,0.0
85,8603,0.2783152441964562,1.0,0.0
90,8710,0.09615774341075302,1.0,0.0
91,8710,0.10804989922602978,1.0,0.0
94,1330,0.2530189514020475,1.0,0.0
101,5706,0.27799054232182696,1.0,0.0
104,1330,0.2838258136234073,1.0,0.0
106,2022,0.5569465677188349,1.0,0.0
106,8603,0.26819794034913275,2.0,0.0
107,1330,0.26653017172575705,1.0,0.0
114,15636,0.5783932160192461,1.0,0.0
126,8609,0.38159700483550785,1.0,0.0
130,4923,0.5987742227818788,1.0,0.0
134,5706,0.2691057008711493,1.0,0.0
142,3025,0.10223964376440824,1.0,0.0
156,12043,0.2561975016572603,1.0,0.0
167,8710,0.12028767887269191,1.0,0.0
168,598,0.2766949025001223,1.0,0.0
189,1330,0.267534990283711,1.0,0.0
195,598,0.2724449835548599,1.0,0.0
200,14498,0.13068425227453515,1.0,0.0
204,1330,0.27941144509216853,1.0,0.0
209,8603,0.2712120764917006,1.0,0.0
222,15636,0.5664456914224721,1.0,0.0
228,8603,0.30885554128472475,1.0,0.0
230,8418,0.16886078612302746,1.0,0.0
232,598,0.28310575464517673,1.0,0.0
234,598,0.2766949025001223,1.0,0.0
235,9489,0.09706550393276965,1.0,0.0
238,11123,0.27204247559708356,1.0,0.0
239,8603,0.25862693430446676,1.0,0.0
240,15636,0.551205098754232,1.0,0.0
242,15636,0.5907711842632322,1.0,0.0
245,6215,0.31988161474281623,1.0,0.0
249,9843,0.10859685222066164,1.0,0.0
254,8603,0.25604016992270945,1.0,0.0
259,12043,0.1775695080237466,1.0,0.0
262,16661,0.19620667574227868,2.0,0.0
262,16627,0.09492323804616828,3.0,0.0
262,16667,0.7829127927654108,1.0,1.0
263,16129,0.529040602961033,1.0,0.0
264,16402,0.799856677688502,1.0,0.0
272,12043,0.2561975016572603,1.0,0.0
273,8710,0.12165214687658366,1.0,0.0
274,1330,0.2732060646279664,1.0,0.0
278,12043,0.2696052891425695,1.0,0.0
292,5149,0.10804989922602978,1.0,0.0
300,8609,0.2918636164441678,1.0,0.0
334,1330,0.27941144509216853,1.0,0.0
340,16402,0.5820632662509663,1.0,0.0
351,12095,0.6735836002390939,2.0,0.0
351,11576,0.5137171835887927,3.0,0.0
351,14955,0.08608301518804504,10.0,0.0
351,13365,0.4432737084047559,4.0,0.0
351,13084,0.3850221979552614,5.0,0.0
351,13377,0.743638430514142,1.0,1.0
351,13150,0.34088527145809466,7.0,0.0
351,12420,0.27486538837780805,8.0,0.0
351,12505,0.271138168193888,9.0,0.0
351,13092,0.3589079928284138,6.0,0.0
357,5149,0.10804989922602978,1.0,0.0
365,8603,0.25604016992270945,1.0,0.0
365,15513,0.0998719311318521,2.0,0.0
366,15636,0.5550457293190573,1.0,0.0
370,16129,0.8107322619299417,1.0,0.0
376,9843,0.1009324128604869,1.0,0.0
383,8710,0.10804989922602978,1.0,0.0
394,8710,0.0998719311318521,1.0,0.0
398,1330,0.27941144509216853,1.0,0.0
408,9843,0.09887798959560139,1.0,0.0
411,15513,0.1009324128604869,1.0,0.0
414,9843,0.032849853986868016,1.0,0.0
419,1330,0.2530189514020475,1.0,0.0
421,8710,0.12028767887269191,1.0,0.0
425,598,0.2766949025001223,1.0,0.0
428,8710,0.09615774341075302,1.0,0.0
437,8710,0.10971865741898791,1.0,0.0
439,8418,0.25295950774813153,1.0,0.0
440,12255,0.2960140154699413,5.0,0.0
440,11836,0.3375662165129124,3.0,0.0
440,11656,0.2883532868807914,6.0,0.0
440,12965,0.6793231483935002,2.0,0.0
440,4141,0.07827492768753193,8.0,0.0
440,12099,0.22954546462553896,7.0,0.0
440,12543,0.7621982909622687,1.0,1.0
440,11966,0.2960140154699413,4.0,0.0
453,8609,0.3031957817229909,1.0,0.0
454,15636,0.5616710219727383,1.0,0.0
457,598,0.27204247559708356,1.0,0.0
467,12043,0.2561975016572603,1.0,0.0
474,11123,0.2781690545002474,1.0,0.0
476,5149,0.09887798959560139,1.0,0.0
479,8603,0.3319273912578835,1.0,0.0
483,17130,0.34516761341738783,1.0,0.0
489,5706,0.26710058454919455,1.0,0.0
491,1330,0.27447474494723934,1.0,0.0
496,11123,0.27779982559190036,1.0,0.0
499,11123,0.270086227545964,1.0,0.0
500,10005,0.1504780920066952,1.0,0.0
502,1330,0.2530189514020475,1.0,0.0
505,11123,0.28428086665677094,1.0,0.0
506,15636,0.5932004247494467,1.0,0.0
507,8609,0.3050973037366948,1.0,0.0
508,5149,0.10859685222066164,1.0,0.0
510,15636,0.5758136760340603,1.0,0.0
515,1330,0.2755708145273431,1.0,0.0
517,1330,0.2732060646279664,1.0,0.0
520,9843,0.09814279793501453,1.0,0.0
530,12043,0.2725894285917153,1.0,0.0
531,8603,0.25604016992270945,1.0,0.0
534,8710,0.12590092809715625,1.0,0.0
536,8603,0.2783152441964562,1.0,0.0
538,9843,0.0989473583362254,1.0,0.0
543,1330,0.26693267968353346,1.0,0.0
548,8710,0.0998719311318521,1.0,0.0
549,8609,0.34805403806533675,1.0,0.0
553,12857,0.2712120764917006,1.0,0.0
555,11123,0.27308930223053224,1.0,0.0
557,8359,0.6017082328432839,1.0,0.0
560,9489,0.10049199413764644,1.0,0.0
563,5149,0.12146279088428612,1.0,0.0
565,8710,0.1010216511931319,1.0,0.0
575,15594,0.11693008132905826,1.0,0.0
579,13368,0.30886898358353465,1.0,0.0
583,9843,0.0998719311318521,1.0,0.0
596,12043,0.28310575464517673,1.0,0.0
599,8609,0.3031957817229909,1.0,0.0
602,10521,0.36981702429168195,2.0,0.0
602,7487,0.3794725342486121,1.0,0.0
602,7878,0.1411335077387694,5.0,0.0
602,8664,0.1411335077387694,4.0,0.0
602,8539,0.2326293884371049,3.0,0.0
608,8603,0.26962584826721525,1.0,0.0
609,1330,0.2530189514020475,1.0,0.0
610,8609,0.3572839416063293,1.0,0.0
618,9489,0.09887798959560139,1.0,0.0
623,1330,0.2637673181801075,1.0,0.0
624,598,0.27413472677765843,1.0,0.0
626,12043,0.2587842660390176,1.0,0.0
634,15636,0.5550457293190573,1.0,0.0
639,8603,0.2912887408749781,1.0,0.0
640,13545,0.3845270167125212,2.0,0.0
640,16749,0.552237758554284,1.0,0.0
641,1330,0.268622422906332,1.0,0.0
643,598,0.2587969859842036,1.0,0.0
647,2317,0.12056332921081533,1.0,0.0
649,11123,0.27779982559190036,1.0,0.0
659,6215,0.31654987197927653,1.0,0.0
662,8418,0.27015935896303706,1.0,0.0
667,10005,0.09552111341344591,1.0,0.0
669,12043,0.2938545415964427,1.0,0.0
676,1330,0.2838258136234073,2.0,0.0
676,14995,0.3916203804258047,1.0,0.0
678,11123,0.2692816671447531,1.0,0.0
679,1973,0.4421024968829039,1.0,0.0
680,1330,0.2530189514020475,1.0,0.0
687,5149,0.12028767887269191,1.0,0.0
693,8710,0.09887798959560139,1.0,0.0
698,4970,0.3072894507951273,1.0,0.0
702,8603,0.26962584826721525,1.0,0.0
706,12043,0.2561975016572603,1.0,0.0
